,별점,리뷰,추천 수,비추천 수
144,10,관람객배우들 연기 좋고~우리가 몰랐던 이면을 본 느낌~나도 속지 않는 사람이 되고싶다 ,55,18
145,10,영화속에서도 밖에서도 멋진배우김혜수 유아인~항상 깨어있어야겠다..다짐하게 만드는 영화 ,58,21
146,10,김혜수님 연기 잘한다고 느꼈지만. 이영화를 보며 한번 더 느낌 진짜 연기잘하심.. 조우진님도 진짜 욕나올정도로 재수없었으면 연기 엄청 잘하신거 맞죠??.. 그시대가 아니기에 많은 공감은 하지 못했지만. 그시대에 버텨...,55,19
147,10,당시 수많은 사람들이 실패하고 몰락할 수 밖에 없는상황을 이용해 자신의 부와 성공을 거머쥘수 있게된 현실을 보며 기쁘면서 화나고 행복하면서도 답답할 수 밖에 없는 윤정학의 심리를 유아인의 표정과 몸짓 눈빛에서 고스란...,64,29
148,10,눈을  뗄 수 없었다. 막 대학을 입학했을 때 IMF를 겪은 터라 생생하다. 배우들의 열연과 그 당시 암암리에 떠돌던 한 켠의 의문들이 제대로 묘사가 되어 보면서 같이 공감하고 현실을 제대로 보게 된다. 마지막까지 ...,44,10
149,9,연기구멍도 없고 안볼 이유가 없다 ,50,17
150,10,역시 김혜수 배우님 최고.. ,55,22
151,1,한국은행 일개 팀장이 imf를 막는다고? 당시 기업들은 돈에만 환장한 인간들이었고? 문화계 블랙/화이트리스트 진짜 심하네... ,63,30
152,1,연기는 훌륭하나 너무 편향되어 있다 ,41,9
153,10,난 안속아 절대 안속아 당연한것을 의심하라 ,41,9
154,10,관람객최근영화중에 최고였음 ,44,12
155,10,연기가 훌륭하다 분절된 얘기를 합심하여 파워풀하게 끌어간다 ,45,13
156,10,무조건 꼭 보세요!    김혜수 유아인 연기내용 구성도 좋고 우리가 꼭 봐야할영화지금 현재도 생각하게해주는빚내서 집사라고 국민들 빚더미에 올려놓고 소비심리 줄어들게한 자한당이 져지른일 대기업 밑에있는 언론들 믿지말자...,47,15
157,1,김혜수가 맡은 정책팀장 실제인물이 정영규경제부장 이라드만 왜 여자로 둔갑시키셔 영화 내내 마치 이나라의 정의는 여자인 김혜수 하나 뿐이었다는 인식을 심으려 애쓰지? 대사들도 죄다 그렇고 여성부에서 권력 휘둘러서 바꿔...,51,19
158,10,"그때 당시 아버지가 떠올랏다. 사업부도나고 집팔고 단칸방에서 술만먹다가 돌아가신 아버지가 원망스러웠었지만, 나이 30즈음이되서야 그 모습을 원망이아니라 잘버티셧다고 생각하게만든 영화였다. ",39,8
159,1,음 정말 실화바탕이라고??? 그냥 뇌피셜로 쓴거같은데요???ㅋㅋㅋ 이건 그냥 반미영화수준인데??? ,73,42
160,10,실제를 바탕으로 했고 문화의 날이라고 봤는데 생각이 많아지는 밤.. +역시 연기구멍 없이 집중하고 본 듯 ,44,14
161,10,마지막에 허준호가 아들한테 아무도 믿지말라고 하는거랑.. 외노자 갈구는거 너무 맘아펏음ㅠ 착하던 사람이 바뀌어서 ,47,17
162,8,관람객답답하고 화나고 슬프지만 우리의 현실을 잘 보여준듯 하네요 ,57,27
163,1,빅쇼트 짝퉁 + 신파코드 ,60,30
164,8,"김혜수 ,유아인 두배우 연기는 정말 보장하는거죠~!!굿굿 멋져용 ",67,37
165,1,역사왜곡 오지네요. 외환위기보고서는 한국은행이아니라 재경부에서 나왔고 IMF구제금융지원받자고한곳이 한국은행입니다. 김혜수가 모라토리엄이 마지막카드라고 깝치던데 모라토리엄선언하면 베네수엘라꼴납니다. ,36,7
166,8,관람객김혜수 조우진 배우 연기 좋았다그때의 위기는 지금도 계속되는듯우리 아이들시대에는 좀 좋아지려나... ,44,15
167,10,"공감하고, 분노할 수 있는 영화.. ",51,22
168,9,"왜 IMF가 왔고, 우리나라의 대응이 어땠고, 어떻게 시민들의 삶이 붕괴됐는지 알수 있어서 좋았어요. 답답하고 안타까운 내용이지만 꼭 봐야될 영화라고 생각해요. 나라가 하는 말 절대 안믿고, 절대 안속겠다는 유아인의...",34,6
169,8,관람객배우들연기는 좋았습니다  보고나서  무언가 먹먹한 느낌? ,42,14
170,8,이야기도 탄탄하고 배우들 연기도 탄탄하고 ,46,19
